COMPANY,sector,Symbol,Ticker
ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN,ADANIGREEN
ADANI PORTS & SEZ,MISCELLANEOUS,ADANI PORTS & SEZ: ADANIPORTS,ADANIPORTS
APOLLO HOSPITALS,MISCELLANEOUS,APOLLO HOSPITALS: APOLLOHOSP,APOLLOHOSP
ASIAN PAINTS,PAINTS,ASIAN PAINTS: ASIANPAINT,ASIANPAINT
AXIS BANK,BANKING,AXIS BANK: AXISBANK,AXISBANK
BAJAJ AUTO,AUTOMOBILES,BAJAJ AUTO: BAJAJ-AUTO,BAJAJ-AUTO
BAJAJ FINANCE,FINANCE,BAJAJ FINANCE: BAJFINANCE,BAJFINANCE
BAJAJ FINSERV,FINANCE,BAJAJ FINSERV: BAJAJFINSV,BAJAJFINSV
BHARAT ELECTRONICS,DEFENCE,BHARAT ELECTRONICS: BEL,BEL
BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL,AIRTEL
BPCL,ENERGY,BPCL: BPCL,BPCL
CIPLA,PHARMACEUTICALS,CIPLA: CIPLA,CIPLA
COAL INDIA,MINING,COAL INDIA: COALINDIA,COALINDIA
DR. REDDYS LAB,PHARMACEUTICALS,DR. REDDYS LAB: DRREDDY,DRREDDY
EICHER MOTORS,AUTOMOBILES,EICHER MOTORS: EICHERMOT,EICHERMOT
GRASIM,TEXTILES,GRASIM: GRASIM,GRASIM
HCL TECHNOLOGIES,SOFTWARE,HCL TECHNOLOGIES: HCLTECH,HCLTECH
HDFC BANK,BANKING,HDFC BANK: HDFCBANK,HDFCBANK
HDFC LIFE INSURANCE,INSURANCE,HDFC LIFE INSURANCE: HDFCLIFE,HDFCLIFE
HERO MOTOCORP,AUTOMOBILES,HERO MOTOCORP: HEROMOTOCO,HEROMOTOCO
HINDALCO,ALUMINIUM,HINDALCO: HINDALCO,HINDALCO
HINDUSTAN UNILEVER,FMCG,HINDUSTAN UNILEVER: HINDUNILVR,HINDUNILVR
ICICI BANK,BANKING,ICICI BANK: ICICIBANK,ICICIBANK
INDUSIND BANK,BANKING,INDUSIND BANK: INDUSINDBK,INDUSINDBK
INFOSYS,SOFTWARE,INFOSYS: INFY,INFY
IOC,ENERGY,IOC: IOC,IOC
ITC,FOOD & TOBACCO,ITC: ITC,ITC
JSW STEEL,STEEL,JSW STEEL: JSWSTEEL,JSWSTEEL
KOTAK MAHINDRA BANK,BANKING,KOTAK MAHINDRA BANK: KOTAKBANK,KOTAKBANK
L&T,ENGINEERING,L&T: LT,LT
M&M,AUTOMOBILES,M&M: M&M,M&M
MARUTI SUZUKI,AUTOMOBILES,MARUTI SUZUKI: MARUTI,MARUTI
NESTLE,FOOD & TOBACCO,NESTLE: NESTLEIND,NESTLEIND
NTPC,POWER,NTPC: NTPC,NTPC
ONGC,ENERGY,ONGC: ONGC,ONGC
POWER GRID,POWER,POWER GRID: POWERGRID,POWERGRID
RELIANCE IND.,ENERGY,RELIANCE IND.: RELIANCE,RELIANCE
SBI,BANKING,SBI: SBIN,SBIN
SBI LIFE INSURANCE,INSURANCE,SBI LIFE INSURANCE: SBILIFE,SBILIFE
SHRIRAM FINANCE,FINANCE,SHRIRAM FINANCE: SHRIRAMFIN,SHRIRAMFIN
SUN PHARMA,PHARMACEUTICALS,SUN PHARMA: SUNPHARMA,SUNPHARMA
TATA CONSUMER,FMCG,TATA CONSUMER: TATACONSUMER,TATACONSUMER
TATA MOTORS,AUTOMOBILES,TATA MOTORS: TATAMOTORS,TATAMOTORS
TATA STEEL,STEEL,TATA STEEL: TATASTEEL,TATASTEEL
TCS,SOFTWARE,TCS: TCS,TCS
TECH MAHINDRA,SOFTWARE,TECH MAHINDRA: TECHM,TECHM
TITAN,RETAILING,TITAN: TITAN,TITAN
TRENT,RETAILING,TRENT: TRENT,TRENT
ULTRATECH CEMENT,CEMENT,ULTRATECH CEMENT: ULTRACEMCO,ULTRACEMCO
WIPRO,SOFTWARE,WIPRO: WIPRO,WIPRO
